新欧尚餐厅,金鸡湖路205号欧尚超市二楼铺位号603-2001, WiFi 
泉水餐厅,龙畔金泉H1区62号, WiFi 店内参观 生日餐会 
泡崖餐厅餐厅,玉金街19号, WiFi 店内参观 生日餐会 
张前路餐厅,张前路211号乐都汇购物广场1楼, WiFi 店内参观 生日餐会 
武威凉州餐厅,东大街108号一二层, WiFi 店内参观 生日餐会 
绅富餐厅,公园东路1289弄123、124号, WiFi 
东兴餐厅餐厅,古镇镇东兴中路2号汇盈大厦首层, WiFi 全天营业 店内参观 生日餐会 
关山大道餐厅,关山大道哈乐城1F, WiFi 
观海卫大润发餐厅,观海卫镇观海卫路580号, WiFi 
官南餐厅,官南大道2169号大润发商业广场一楼2号商铺, WiFi 店内参观 生日餐会 
从城大道餐厅,从城大道111号自编A区B栋首层, WiFi 店内参观 生日餐会 
沙汕DT餐厅,元岗路310号自编19栋一层二层三层, WiFi 全天营业 店内参观 生日餐会 
清塘大道餐厅,清塘大道海伦城市广场一层, WiFi 全天营业 店内参观 生日餐会 
金沙湾广场餐厅,观海北路8号金沙湾广场1、2、3号商住楼地下室一层商场, WiFi 店内参观 生日餐会 
窈窕DT餐厅,火炬开发区窈窕村地块, WiFi 店内参观 生日餐会 
富华餐厅餐厅,西区富华道边富业广场一层二层, WiFi 全天营业 店内参观 生日餐会 
松江万达餐厅,广富林路658弄松江万达广场2002号商铺, WiFi 
莲塘-DT餐厅,莲塘村迎宾大道与商业大道交汇处一层, WiFi 全天营业 生日餐会 
增城万达餐厅,荔城街增城大道69号万达广场一层1002、二层2002、2073号商铺, WiFi 店内参观 生日餐会 
哈西站餐厅,哈西大街哈尔滨西站二楼, WiFi 
海宁银泰餐厅,海昌南路365号银泰城一楼, WiFi 店内参观 
世纪港湾餐厅,秦皇东大街世纪港湾商业广场1层, WiFi 店内参观 生日餐会 
友谊餐厅,龙华路11号友谊商场一楼, WiFi 全天营业 店内参观 生日餐会 
龙昆南餐厅,龙昆南路58号和信广场一楼, WiFi 全天营业 店内参观 生日餐会 
滨江东餐厅,滨江东路33、41号二楼自编202号铺, WiFi 全天营业 店内参观 生日餐会 
汉友商厦餐厅,汉沽河西三经路与四纬路交汇处一商友谊广场东南角一层二层, WiFi 生日餐会 
合浦餐厅餐厅,廉州镇还珠大道1号一层, WiFi 全天营业 店内参观 生日餐会 
奥山餐厅,青山区和平大道奥山世纪城1层, WiFi 生日餐会 
文安餐厅,城内大十字街盛业大厦一层, WiFi 店内参观 生日餐会 
万德隆餐厅,新华路与文化路交叉口万德隆时代广场1层, WiFi 店内参观 生日餐会 
凯旋广场餐厅,凯旋东路建业凯旋广场肯德基, WiFi 店内参观 生日餐会 
红荔西餐厅,红荔西路和农林路交叉口荔林苑一楼, WiFi 全天营业 店内参观 生日餐会 
红旗大街餐厅,红旗大街666号商业北侧一层二层, WiFi 全天营业 生日餐会 
福鼎中汇餐厅,天湖路中汇广场13号楼1至2层, WiFi 全天营业 店内参观 生日餐会 
昆山花桥餐厅,昆山市花桥镇花安路171号, WiFi 全天营业 店内参观 生日餐会 
满洲里万达餐厅,华阜大街万达广场, 店内参观 
昆山西路餐厅,昆山西路2号12门, WiFi 店内参观 生日餐会 
大亚湾龙海DT餐厅,大亚湾西区龙海三路世纪城花园D栋一层二层, WiFi 全天营业 店内参观 
宁波火车南站餐厅,宁波站（火车南站出发层2楼NB-3F05商铺）, WiFi 店内参观 生日餐会 
建设餐厅餐厅,建设大街37号, WiFi 
金杯餐厅餐厅,土桥街61号金杯银座一、二层, WiFi 店内参观 生日餐会 
茂业餐厅,建新北路16号G-1层, WiFi 店内参观 
汉口城市广场餐厅,后湖街建设大道延长线与幸福大道交汇处汉口城市广场C区, WiFi 
一六一餐厅,黄浦路68号, WiFi 店内参观 
泛海城市广场餐厅,王家墩CBD泛海城市广场一层, WiFi 
杭州新东站2餐厅,新火车东站候车大厅隔层（东）A23检票口上方, 店内参观 生日餐会 
赣州蓉江路餐厅,蓉江路国光购物广场一层二层, WiFi 生日餐会 
梦时代餐厅,北京东路308号恒茂梦时代国际广场三号楼一层, WiFi 店内参观 生日餐会 
天门接官路餐厅,市钟惺大道与接官路交汇处世贸中心, WiFi 生日餐会 
金海餐厅,金海路2493号宝龙广场肯德基, WiFi 
宜昌福久源餐厅,桔城路6号香山福九源一层, WiFi 店内参观 生日餐会 
兴义桔丰路餐厅,桔丰路侧兴义购物商城3号楼-1至1层, WiFi 生日餐会 
通城湘汉路餐厅,隽水镇湘汉路, WiFi 生日餐会 
开化东方餐厅,城关镇临湖路212号, WiFi 店内参观 生日餐会 
水口餐厅餐厅,开平市水口镇新路15号首、二层肯德基, WiFi 全天营业 
欧亚卖场三餐厅,开运街5178号欧亚卖场20号门, 生日餐会 
启鸿假日餐厅,昆明假日城市小区一层, WiFi 全天营业 店内参观 生日餐会 
大地景苑餐厅,桂中大道368号方盛广场一楼, WiFi 全天营业 店内参观 生日餐会 
红石餐厅餐厅,莱城区文化南路8号一层二层, WiFi 店内参观 生日餐会 
莱西新利群餐厅,烟台路西文化路南利群莱西购物广场一层、二层的房产。, 生日餐会 
龙凤餐厅,贺昌路361号永宁国际购物中心一层, 店内参观 生日餐会 
金华万达餐厅,李渔东路366号万达广场1楼, 店内参观 生日餐会 
祥和路DT餐厅,祥和路278号, WiFi 
花地大道DT餐厅,花地大道中228号宜车城一层, WiFi 全天营业 店内参观 生日餐会 
宁波栎社机场餐厅,栎社国际机场候机楼二楼, WiFi 店内参观 生日餐会 
司马大道餐厅餐厅,司马大道425号瑞云欣广场一层, WiFi 店内参观 生日餐会 
太仓浏河餐厅,太仓市浏河镇郑和大街南侧浏河汽车站一层, WiFi 店内参观 生日餐会 
嘉御山餐厅,坂田街道五和大道与吉华路交汇处坂田天虹商场一楼, WiFi 全天营业 店内参观 生日餐会 
龙海紫崴餐厅,龙海市石码镇紫崴路44号建发美一城时代广场店铺一层二层, WiFi 店内参观 生日餐会 
娄底新化天华餐厅,天华路永泰商业广场一楼肯德基餐厅, WiFi 店内参观 生日餐会 
吕四餐厅,吕四港镇环城北路272号吕四宾馆楼下, WiFi 全天营业 店内参观 生日餐会 
常熟梅李餐厅,常熟市梅李镇通江路11号银河苑1区5幢123-124号一层二层, WiFi 全天营业 生日餐会 
渠阳餐厅,渠阳中路靖天国际广场（县公安局旁）一二层, WiFi 店内参观 生日餐会 
京东餐厅,高新大道8号大润发（原欧亚达家居）, WiFi 店内参观 生日餐会 
康城DT餐厅,南城港口大道南侧康城大厦首层, WiFi 店内参观 生日餐会 
博爱餐厅,狮山镇博爱中路61号一层1A013、二层2A015、三层3A013铺位, WiFi 店内参观 生日餐会 
南口餐厅,南口镇南豆腐巷85号一层101, WiFi 店内参观 生日餐会 
花果园餐厅,花果园大街1号花果园购物中心GF-08, WiFi 全天营业 生日餐会 
鸿洲餐厅餐厅,深南大道与南新路口交汇处鸿洲新都首层, WiFi 店内参观 生日餐会 
海虹路DT餐厅,海虹路鲁能三亚湾美丽五区项目2号楼一层03、04号商铺, WiFi 店内参观 
乌兰大街餐厅,乌兰西大街22号新华书店一楼, WiFi 店内参观 生日餐会 
创意园餐厅餐厅,宁夏路147号一、二层, WiFi 生日餐会 
玉潭餐厅餐厅,玉潭镇人民中路12号, WiFi 店内参观 生日餐会 
农安路餐厅,农安大路欧亚商贸一楼, 生日餐会 
普临餐厅,普兰店区皮口街道海北路中段177-1号1层, WiFi 生日餐会 
杭州萍水餐厅,萍水街333号新武林商业中心1楼, 生日餐会 
普宁商品城DT餐厅,普宁国际商品城南侧12栋铺面, WiFi 全天营业 店内参观 生日餐会 
普陀鑫材DT餐厅,浦西工业小区东海西路2113号浦西陶瓷建材市场汽车穿梭餐厅, WiFi 店内参观 生日餐会 
新伊仕丹餐厅,桥头街1号, WiFi 店内参观 
明珠大润发餐厅,南珠西大街223号大润发超市一楼肯德基, WiFi 店内参观 生日餐会 
太华餐厅,曲江大明宫遗址区太华北路369号万达广场二楼, 店内参观 生日餐会 
泉州火车站精选餐厅,泉州站二楼侯车厅编号为212及213的铺位, WiFi 
泉州火车站餐厅,泉州站一楼侯车厅编号为003的铺位, WiFi 
国会餐厅,人民东路东港商务区音乐喷泉广场, WiFi 
进贤餐厅餐厅,进贤步行街E栋一层, WiFi 店内参观 生日餐会 
棣新餐厅,棣新一路27号圣豪百货部分一层、二层, WiFi 店内参观 生日餐会 
澳德乐餐厅,新兴路以东、104国道以南的澳德乐时代广场一层的房产, WiFi 店内参观 生日餐会 
光洋餐厅,五四路上财富广场翡翠城内的光洋百货一层的房产, WiFi 店内参观 生日餐会 
财富广场餐厅,青岛鹤山路939号即墨利群财富广场, WiFi 生日餐会 
火车站站内餐厅,济南站美食城CY-02号场地, 
济宁万达餐厅,济宁万达广场内的二层2001号和二层2002号商铺, WiFi 店内参观 生日餐会 
微山银座餐厅,建设路北侧、镇中街东侧微山银座商城一层的房产, WiFi 生日餐会 
金沙广场餐厅,青岛广州路东、兖州路北侧一层的房产, WiFi 店内参观 生日餐会 
新东昌餐厅,东昌东路139号建工大厦一层的房产, WiFi 全天营业 店内参观 生日餐会 
中铁青岛中心餐厅,青岛中心广场B1-003、007号商铺, WiFi 
弘道路餐厅,弘道路6号曲阜百意购物中心一层的房产, WiFi 生日餐会 
烟台北马路餐厅,北马路烟台火车站南售票厅东临网点一层、二层。, WiFi 
唐塔餐厅,胜利街北段唐塔商城一、二层的房产, 生日餐会 
大同武定餐厅,魏都大道与武定路交叉口（金湖国际外围）一二层肯德基餐厅, WiFi 店内参观 
太原南站餐厅,北营太原南客站二层, WiFi 店内参观 生日餐会 
沣京餐厅,甘亭镇草堂路3号一层二层, WiFi 店内参观 生日餐会 
西安咸宁餐厅,咸宁中路122号乐宁会一层二层, WiFi 店内参观 生日餐会 
财富中心餐厅,上海路与和平街交叉口大润发商业广场一楼肯德基, WiFi 店内参观 生日餐会 
陈行餐厅,浦江镇陈行公路2688号, WiFi 生日餐会 
射阳恒隆餐厅,射阳县红旗路42号恒隆广场大润发超市一楼, WiFi 
机场T3到达餐厅,宝安国际机场T3航站楼二楼到达层, 全天营业 
机场T3出发餐厅,宝安国际机场T3航站楼五楼出发餐饮配套区, WiFi 店内参观 生日餐会 
三联DT餐厅,布吉三联布龙路红星美凯龙旁三联综合楼一层, WiFi 店内参观 生日餐会 
惠工餐厅,哈尔滨路168号华府金融购物中心一层, WiFi 
文艺餐厅餐厅,大润发超市一楼，省人民医院对面。, 生日餐会 
咸阳世纪DT餐厅,世纪大道中段三米阳光一层, WiFi 店内参观 生日餐会 
世纪餐厅,世纪大街世纪海云天二期56号, WiFi 生日餐会 
白衣上街餐厅,双楠大道白衣上街177号欧尚超市一楼肯德基餐厅, WiFi 生日餐会 
邵陵餐厅餐厅,人民广场家惠超市旁, WiFi 店内参观 生日餐会 
怀仁开元餐厅,仁人路211号开元商厦一层, WiFi 店内参观 生日餐会 
江川餐厅,泗泾镇江川北路263、265号, WiFi 全天营业 生日餐会 
松湖烟雨餐厅,松山湖科技产业园区沁园路万科松湖中心广场一层, WiFi 生日餐会 
郴州八一路餐厅,八一路生源时代广场一二层肯德基餐厅, WiFi 店内参观 生日餐会 
苏州路餐厅餐厅,青岛苏州路与济南路交叉口西南角被称为“大润发超市”地块上部分一层, 店内参观 
酒泉肃州餐厅,鼓楼东方广场一、二层肯德基餐厅, WiFi 全天营业 店内参观 生日餐会 
广源餐厅,长江路123号, WiFi 生日餐会 
名山路餐厅,绥山镇金顶南路仙山大厦1层, WiFi 店内参观 生日餐会 
太原怡丰餐厅,桃园北路与府西街交汇处怡丰大厦一层, WiFi 店内参观 生日餐会 
繁荣餐厅餐厅,人民路56号, WiFi 生日餐会 
大观园餐厅餐厅,纬二路49号一层、二层, WiFi 生日餐会 
温岭银泰餐厅,温岭市城西街道中华路728号银泰城1F003-1, WiFi 店内参观 生日餐会 
文化路餐厅,站前街与文化路交汇处欧亚延百购物中心一楼, WiFi 店内参观 
海岸城餐厅,太湖新城立信大道西侧无锡海岸城购物中心, WiFi 店内参观 生日餐会 
洛社餐厅餐厅,洛社镇新兴西路3号哥伦布六龙城一层二层, WiFi 店内参观 生日餐会 
中环餐厅餐厅,钱桥街道钱桥社区恒达中环国际1层, WiFi 店内参观 生日餐会 
查桥餐厅,安镇街道锡沪路与镇南路交汇处查桥商业广场一层, WiFi 店内参观 生日餐会 
世博广场餐厅,长江北路106号一层二层, WiFi 店内参观 生日餐会 
新罗马假日餐厅,高升桥东路2-6号罗马假日广场C座, WiFi 生日餐会 
世豪广场餐厅,剑南大道中段988号世豪广场一层, WiFi 
庆阳南大街餐厅,庆阳CBD商务中心（昊鑫国际）2期一层, WiFi 店内参观 生日餐会 
杭州转塘华润餐厅,转塘镇转塘街道美院南路华润超市1楼, WiFi 店内参观 生日餐会 
汉川仙女大道餐厅,汉川市仙女大道18号中百仓储购物广场一层, WiFi 店内参观 生日餐会 
闻堰物美餐厅,闻堰镇万达中路与三江路交汇处物美超市一楼, WiFi 店内参观 生日餐会 
珠峰餐厅餐厅,小海地曲江路15号1层肯德基, WiFi 店内参观 生日餐会 
新化梅苑餐厅,梅苑南路友阿世茂广场一楼, WiFi 店内参观 生日餐会 
嘉华餐厅餐厅,新开路与华昌大街交汇处嘉华商业中心一层, WiFi 
怀化新天地广场肯德基餐厅,新天地城市广场肯德基, WiFi 店内参观 生日餐会 
湘乡市新湘路餐厅,新湘路嘉亨茂商业广场一楼肯德基餐厅, WiFi 生日餐会 
华贸餐厅,信誉楼大街南端华贸商厦一层, WiFi 店内参观 生日餐会 
兴顺餐厅,兴顺街与长沈路交汇处欧亚商超一楼, 生日餐会 
惠友餐厅,振兴中路3号一层二层, WiFi 店内参观 生日餐会 
体育路餐厅,许坦西路69号美特好超市体育路店一层, WiFi 店内参观 生日餐会 
盛地餐厅,红安县沿河路盛地沃尔玛广场一层二层, WiFi 店内参观 生日餐会 
三河天洋城餐厅,燕郊开发区汉王路天洋广场, WiFi 生日餐会 
三河星罗城餐厅,燕郊开发区燕顺路星罗城购物中心一层, WiFi 生日餐会 
金万福DT餐厅,燕郊镇迎宾路与102国道交汇处金万福购物广场, WiFi 店内参观 生日餐会 
平山餐厅,冶河东路福美佳购物中心一层, WiFi 店内参观 生日餐会 
义蓬购物中心DT餐厅,大江东区义蓬街道义蓬中路501号, WiFi 生日餐会 
新银百（解放街老大楼一楼）餐厅,解放东街2号老大楼一层, WiFi 
银川良田餐厅,庆丰街288号新百良田超市, WiFi 店内参观 生日餐会 
银川西夏餐厅,万达广场1号门, WiFi 店内参观 生日餐会 
银川火车站餐厅,通达北街371号新火车站候车大厅二楼北侧, WiFi 
金河餐厅餐厅,友谊北路80号金河购物广场一层, WiFi 生日餐会 
鱼洞餐厅,重庆鱼洞新市街80号商社汇1-2层, WiFi 生日餐会 
名州餐厅,西山大街绥德文化广场, WiFi 店内参观 生日餐会 
通衢餐厅,禹州市汉槐街以北通衢路以西新时代购物广场一、二层的房产, 生日餐会 
湘潭东方红餐厅,芙蓉路东方红广场负一楼肯德基餐厅, WiFi 店内参观 生日餐会 
云山餐厅餐厅,青州云门山路与范公亭路交叉口东北角被称为“休闲购物广场”地块上部分一层。, WiFi 
昭通中汇肯德基餐厅,环城东路与朱提大道交叉口东南侧昭通中汇商业城B区1层, WiFi 全天营业 店内参观 生日餐会 
张家港华昌路DT餐厅,张家港市华昌路与华山路口交汇处湖滨世家, WiFi 
张江餐厅,张江路625号一层B座, WiFi 
卫星广场餐厅,人民大街8899号, WiFi 店内参观 生日餐会 
火星餐厅,晚报大道218号, WiFi 全天营业 店内参观 生日餐会 
新美罗餐厅,肇嘉浜路1111号, WiFi 
新桥国鼎餐厅,瓯海区新桥街道国鼎路67号, WiFi 店内参观 生日餐会 
花园餐厅,丹东万达广场三号门一楼, 生日餐会 
镇江汽车站餐厅,黄山西路镇江汽车客运站一层, WiFi 
平安餐厅餐厅,中山东路97号, 店内参观 
桂百餐厅餐厅,中山中路14号, WiFi 店内参观 生日餐会 
中北商城餐厅,中兴西大街中北世纪城集中商业街一层二层, WiFi 生日餐会 
帝都新城餐厅,钟山大道三段与钢城大道交汇处, WiFi 店内参观 生日餐会 
众意餐厅,郑东新区众意路东、商务西一街西丹尼斯百货七天地(G段)一、二层, WiFi 
华发商都餐厅,珠海大道8号华发商都1号楼一层A1028、A1029号（肯德基）, WiFi 全天营业 店内参观 
诸暨永利餐厅,苎萝东路399号吾悦广场1层, WiFi 生日餐会 
祝桥餐厅,祝桥镇百熙路368弄13号, WiFi 生日餐会 
资阳摩根时代餐厅,建设南路二段, WiFi 店内参观 生日餐会 
衡东衡岳路餐厅,衡东衡岳北路新世纪大市场C栋128-129号, WiFi 生日餐会 
新江桥餐厅,虞姬墩路506号一、二层，101、102、103、201, WiFi 全天营业 生日餐会 
山大路餐厅,历城区山大路124号一层（百脑汇一层）, WiFi 生日餐会 
港华餐厅,商品街一巷港华商业城一楼, WiFi 全天营业 店内参观 生日餐会 
海棠湾餐厅,海棠北路免税购物商城3楼B区, 
兴化汽车站餐厅,兴化汽车客运站1层, WiFi 
延安东大餐厅,百米大道中段东大上品一楼肯德基, WiFi 全天营业 
安康兴安餐厅,汉滨区兴安中路74号晨雨大厦一二层, WiFi 店内参观 生日餐会 
延安延大餐厅,兰家坪十字东信时代广场1层, WiFi 店内参观 
丰荣餐厅,普兰店市第二百货大楼一楼, WiFi 全天营业 店内参观 生日餐会 
澳东世纪DT餐厅,金普新区澳东世纪购物中心东侧, WiFi 店内参观 生日餐会 
温岭新天地餐厅,太平街道万泉东路272号, WiFi 店内参观 生日餐会 
杜家坎DT餐厅,杜家坎南路1-7, WiFi 
雁栖DT餐厅,雁栖镇下庄村西北公路东侧20米二层独楼一层、二层, WiFi 店内参观 生日餐会 
新利生餐厅,后洲街道玉环路10号中亭街改造利生苑连体部分1层132店面二层303-304店面, WiFi 
开平车站餐厅,长沙区良园路30号1栋义祠车站首层, WiFi 
南海万达餐厅,桂城街道桂澜北路28号万达广场1039B铺, WiFi 全天营业 店内参观 生日餐会 
鼎盛广场餐厅,人民大道南116号负一层G1-11号商铺, WiFi 全天营业 店内参观 生日餐会 
孝昌洪花大道餐厅,县县城区建设路与花园大道交汇处, WiFi 生日餐会 
荆州万达餐厅,北京西路508号万达广场一层1001A, WiFi 店内参观 生日餐会 
机场出发层餐厅,滨海国际机场T2航站楼, WiFi 生日餐会 
锡林浩特餐厅,市额尔敦路维多利商厦一、二层, WiFi 店内参观 生日餐会 
贾汪百大餐厅,劳工街前委路中段百货大楼一层二层, WiFi 店内参观 生日餐会 
武进万达餐厅,花园街与大通路交汇处万达广场, WiFi 店内参观 
禄口机场新站楼餐厅,禄口机场T2航站楼, WiFi 店内参观 生日餐会 
南京站北广场餐厅,火车站北广场3楼3-1-1号, WiFi 店内参观 生日餐会 
恒隆汇餐厅,瑞安路2号一层, WiFi 全天营业 店内参观 生日餐会 
江星餐厅,姑苏区城北东路1188号（江星广场华润万家店）, WiFi 店内参观 生日餐会 
繁花餐厅,相城区人民路4555号繁花中心一层, WiFi 店内参观 
新螺蛳湾二期餐厅,宏仁片区昆明螺蛳湾商贸城二期5号楼F1-2, WiFi 店内参观 
银泰城餐厅,东宝区象山一路4号银泰城一楼肯德基, WiFi 
中央大街餐厅,中央大街中央商城对面潮人汇美食广场2楼肯德基, WiFi 店内参观 
桦甸肯德基（大兴）餐厅,大兴街与人民路路交汇桦威商厦1楼, WiFi 生日餐会 
长庆餐厅,新华西路与长庆街交汇处西南角, WiFi 店内参观 生日餐会 
西正路餐厅,西正路西城楼大街小区北区1座商铺101-105和121-122, WiFi 全天营业 店内参观 生日餐会 
福州路餐厅,广汉福州路2段一号-1至1层, WiFi 店内参观 生日餐会 
思源餐厅,滨河路一段88号摩尔春天一楼肯德基, WiFi 生日餐会 
长寿桃花新城餐厅,桃源东路4号1幢1-85A，2-54号一、二层, WiFi 店内参观 生日餐会 
新群英餐厅,五一路与群英路交汇处西南角中星时代广场, WiFi 全天营业 店内参观 生日餐会 
漓湘路餐厅,星沙经开区泉塘社区漓湘东路南东六线西昌和购物中心1-2层, WiFi 全天营业 
邵阳衡宝路餐厅,两市镇衡宝路九龙国际大酒店步步高超市一层, WiFi 生日餐会 
同德餐厅餐厅,红旗街616号万达广场一层二层, 店内参观 
东城万达餐厅,东城区东纵路208号万达广场AD区1幢二层2001/2002号商铺, WiFi 店内参观 生日餐会 
永泰站餐厅,同泰路118号永泰站生活广场一二层, WiFi 全天营业 店内参观 生日餐会 
白云机场1号航站楼外卖1餐厅,T1航站楼出发厅1楼B33号门旁, 全天营业 
遂昌凯恩餐厅,北街1号, WiFi 生日餐会 
丽水万地餐厅,花园路16号一层21号商铺, 店内参观 生日餐会 
云和解放餐厅,解放东街210号, WiFi 店内参观 生日餐会 
天台太平洋餐厅,赤城街道赤诚路399号, WiFi 店内参观 生日餐会 
都昌东风大道餐厅,都昌县东风大道万宜生活广场1-2层, WiFi 生日餐会 
髯翁路餐厅,髯翁路, WiFi 店内参观 生日餐会 
前兴路万达餐厅,前兴路万达广场二层, WiFi 店内参观 生日餐会 
泉州大洋餐厅餐厅,泉秀路与温陵路交汇处福华商厦大洋百货1层, WiFi 全天营业 店内参观 生日餐会 
龙岩中兴餐厅餐厅,闽西交易城中心广场北侧新发现国际广场地下一层及一层, 店内参观 生日餐会 
定西富丽餐厅,解放路富丽商厦肯德基餐厅, WiFi 店内参观 生日餐会 
雁南餐厅,雁南路天庆嘉园太阳岛肯德基餐厅, WiFi 店内参观 生日餐会 
溧水大润发餐厅,溧水区天生桥大道与致远路交汇处, WiFi 店内参观 
马鞍山万达餐厅,太白大道万达广场一楼, WiFi 店内参观 
霍邱商之都餐厅,城关镇商之都一楼, WiFi 店内参观 生日餐会 
铜陵嘉华大润发餐厅,翠湖一路与石城大道交叉口处大润发一楼, WiFi 店内参观 生日餐会 
家天下乐购餐厅,瑶海区铜陵北路家天下生活广场一层, WiFi 店内参观 生日餐会 
横县餐厅,横州镇宝华中路太阳广场C3栋一层, WiFi 全天营业 店内参观 生日餐会 
正恒餐厅,明秀西路111号正恒国际1楼, WiFi 全天营业 店内参观 生日餐会 
南柳餐厅餐厅,南柳--南宁至柳州方向, WiFi 店内参观 生日餐会 
柳南餐厅餐厅,和吉镇岭甲村委莲花村地段的柳州至南宁高速公路宾阳服务区西区一层, WiFi 生日餐会 
天鸿餐厅,联纺路与人和街交口东北角天鸿广场A座1、2层, WiFi 生日餐会 
怡水园餐厅,人民路北侧、宝云街西侧衡百国际购物中心负一层, WiFi 店内参观 
北出站口餐厅,天津站交通枢纽后广场轨道换乘中心地下一层C001号, WiFi 
候车大厅精选餐厅,天津站南站房D区二层10-12检票口, WiFi 生日餐会 
武穴北川路餐厅,武穴市北川路城市广场一、二楼, WiFi 生日餐会 
山观餐厅,城东街道山源村龙山大街北蟠龙花园二期155单元1-2层, WiFi 生日餐会 
南大街餐厅,南大街59号富豪大厦二层, WiFi 
新旺角餐厅,纺正街与纺五路十字华润万家一层, WiFi 店内参观 生日餐会 
华州餐厅,新秦北路东侧54号一层, WiFi 店内参观 生日餐会 
库尔勒朝阳路餐厅,34号小区朝阳路东南侧汇嘉时代购物中心（一期）地上一层, WiFi 生日餐会 
吕岭路餐厅,吕岭路1068号东百蔡塘广场1层A18C和2层A18C, WiFi 店内参观 生日餐会 
罗山餐厅,博山东路50号, WiFi 生日餐会 
西安启航餐厅,三桥街道启航时代广场一层, WiFi 
遂溪餐厅,遂海路36号全丰中央广场首层及夹层, WiFi 全天营业 店内参观 生日餐会 
利津餐厅,利津路商业区C区51号, WiFi 
武商摩尔城餐厅,滑坡路武商摩尔城附一层, WiFi 生日餐会 
佰港城餐厅,洪山区南湖文治街30号维佳佰港城1-002A一楼肯德基, WiFi 生日餐会 
通山九宫大道餐厅,县通羊镇九宫大道216号1-2层, WiFi 生日餐会 
东正街餐厅,广水市东大街与广安路交汇处华沣大厦一楼, WiFi 店内参观 生日餐会 
金银潭餐厅,金银潭大道永旺梦乐城, WiFi 店内参观 生日餐会 
崇阳信达步行街餐厅,信达步行街一、二层肯德基餐厅, WiFi 店内参观 生日餐会 
阳新兴国大道餐厅,县兴国镇光谷广场一楼, WiFi 店内参观 生日餐会 
徐州站精选餐厅餐厅,火车站进站大厅一层, 全天营业 
龙岩万达餐厅,龙岩大道与双龙路交界处的万达广场商业一层1052B, 店内参观 生日餐会 
清湖餐厅,均禾大道清湖段金铂广场正门1-2层, WiFi 店内参观 
柳泉广场餐厅,淄川区柳泉正承广场地下一层银座商城, WiFi 
嘉善恒利餐厅,魏塘街道中山西路118号恒利广场一楼, WiFi 店内参观 生日餐会 
怀宁路餐厅餐厅,长江西路与怀宁路交叉口华联商厦一楼肯德基, WiFi 店内参观 生日餐会 
勤俭路餐厅,勤俭路504号, WiFi 全天营业 生日餐会 
犀浦餐厅,郫县犀浦镇国宁东路69号百伦广场一、二层, WiFi 
红岩子餐厅,红岩子大道西延线与国道212线东南角处1层, WiFi 生日餐会 
乌江中路餐厅,南白镇乌江中路与西大街交汇处, WiFi 店内参观 生日餐会 
大足印象餐厅,龙岗办事处龙中路89号一层、二层, WiFi 生日餐会 
重庆万象城餐厅餐厅,重庆谢家湾正街55号华润中心万象城A座LG层和L1层, WiFi 店内参观 生日餐会 
飞云餐厅餐厅,新开路爱尚购物广场一楼, 店内参观 
万佳餐厅,谷饶镇谷贵路茂广路段“阳光百汇”商场一层A001铺面、二层B001铺面, WiFi 全天营业 店内参观 生日餐会 
金地琥珀餐厅,浑南东路18号，金地琥珀1楼, WiFi 
久柏埠餐厅,红旗大街与渤海路交汇处西北角，全季酒店对面, WiFi 店内参观 生日餐会 
雾凇餐厅,昌邑区珲春中街1508号大润发西山店一层, WiFi 生日餐会 
新乐松餐厅,三大动力路2号, WiFi 店内参观 
新潮餐厅,长春路126号, WiFi 店内参观 生日餐会 
辽河大路餐厅,辽河路与郑园路交汇处国商百货1楼 肯德基, WiFi 店内参观 生日餐会 
鹏宏餐厅,九台市鹏宏广场一楼, WiFi 店内参观 生日餐会 
万新餐厅,万新街大润发一层, WiFi 店内参观 生日餐会 
乘风庄餐厅,乘风庄新玛特一楼肯德基, WiFi 店内参观 
太古街餐厅,太古街210号大润发一层, WiFi 店内参观 生日餐会 
桃山餐厅,山湖路46号大润发一层肯德基, WiFi 店内参观 生日餐会 
中兴大街餐厅,中兴大街华晨商都一层肯德基, WiFi 店内参观 生日餐会 
君子兰餐厅,长新东路与远达大街交汇欧亚购物中心一楼肯德基餐厅, WiFi 店内参观 生日餐会 
昆仑餐厅,西宾路与聚贤街交口东南角, WiFi 店内参观 
敦化翰章餐厅餐厅,翰章大街1318号（中心市场对面）, WiFi 生日餐会 
松江路餐厅,松江南路488号欧亚城市综合体, WiFi 
鞍山立山大润发餐厅,鞍千路90栋S27号（凤凰城大润发超市1楼）, WiFi 店内参观 生日餐会 
松花湖餐厅,小白山乡青山村万科松花湖滑雪场, WiFi 
抚百餐厅餐厅,站前27-1方块万隆商厦地上一、二层, WiFi 
蒙古贞餐厅,阜蒙县文化路61号, WiFi 店内参观 生日餐会 
沈辽路餐厅餐厅,沈辽路141号1门, WiFi 生日餐会 
珠海机场餐厅,三灶镇海澄机场候机大楼主楼(中指廊)二楼出发大厅SD025号, WiFi 
金稻田餐厅,金稻田路清水河新村综合楼一楼, WiFi 全天营业 店内参观 生日餐会 
福荣路餐厅,金地一路绿景蓝湾半岛1层西侧, WiFi 店内参观 生日餐会 
大同御西餐厅,迎宾街南侧御河西路凯旋城外围一层, WiFi 店内参观 
晋中大学城餐厅,文华街与定阳路十字路口万科朗润商业广场A1号一层肯德基餐厅, WiFi 店内参观 
